Entry	Entry name	Protein description	Gene name	Organism
A0A0U1RR37	CA232_HUMAN	CA232_HUMAN Uncharacterized protein C1orf232	C1orf232	Homo sapiens
A0A0U1RRA0	ZNOS_HUMAN	ZNOS_HUMAN Putative transmembrane protein ZNF593OS	ZNF593OS	Homo sapiens
A0A0U1RRE5	NBDY_HUMAN	NBDY_HUMAN Negative regulator of P-body association	NBDY	Homo sapiens
A0A0U1RRI6	CENL3_HUMAN	CENL3_HUMAN Centromere protein V-like protein 3	CENPVL3	Homo sapiens
A0A0U1RRK4	LBHD2_HUMAN	LBHD2_HUMAN LBH domain-containing protein 2	LBHD2	Homo sapiens
A0A0U1RRL7	MMPOS_HUMAN	MMPOS_HUMAN Protein MMP24OS	MMP24OS	Homo sapiens
A0A0U1RRN3	SPTOS_HUMAN	SPTOS_HUMAN Putative transmembrane protein SPTY2D1OS	SPTY2D1OS	Homo sapiens
A0A0X1KG70	ORM2B_HUMAN	ORM2B_HUMAN Olfactory receptor 4M2	OR4M2B	Homo sapiens
A0A183	LCE6A_HUMAN	LCE6A_HUMAN Late cornified envelope protein 6A	LCE6A	Homo sapiens
A0A1B0GTC6	CC085_HUMAN	CC085_HUMAN Uncharacterized protein C3orf85	C3orf85	Homo sapiens
A0A1B0GTD5	TEX49_HUMAN	TEX49_HUMAN Testis-expressed protein 49	TEX49	Homo sapiens
A0A1B0GTH6	CS2IP_HUMAN	CS2IP_HUMAN Casein kinase II subunit alpha'-interacting protein	CSNKA2IP	Homo sapiens
A0A1B0GTI1	CC201_HUMAN	CC201_HUMAN Coiled-coil domain-containing protein 201	CCDC201	Homo sapiens
A0A1B0GTI8	TM272_HUMAN	TM272_HUMAN Transmembrane protein 272	TMEM272	Homo sapiens
A0A1B0GTK4	F237A_HUMAN	F237A_HUMAN Protein FAM237A	FAM237A	Homo sapiens
A0A1B0GTK5	F236D_HUMAN	F236D_HUMAN Protein FAM236D	FAM236D	Homo sapiens
A0A1B0GTL2	CT204_HUMAN	CT204_HUMAN Uncharacterized protein C20orf204	C20orf204	Homo sapiens
A0A1B0GTQ4	MYMX_HUMAN	MYMX_HUMAN Protein myomixer	MYMX	Homo sapiens
A0A1B0GTR0	EDD13_HUMAN	EDD13_HUMAN Epididymal protein 13	EDDM13	Homo sapiens
A0A1B0GTR3	CX05A_HUMAN	CX05A_HUMAN Uncharacterized protein CXorf51A	CXorf51A	Homo sapiens
A0A1B0GTR4	SPRR5_HUMAN	SPRR5_HUMAN Putative small proline-rich protein 5	SPRR5	Homo sapiens
A0A1B0GTS1	HSFX4_HUMAN	HSFX4_HUMAN Heat shock transcription factor, X-linked member 4	HSFX4	Homo sapiens
A0A1B0GTU1	ZC11B_HUMAN	ZC11B_HUMAN Zinc finger CCCH domain-containing protein 11B	ZC3H11B	Homo sapiens
A0A1B0GTU2	CTXD1_HUMAN	CTXD1_HUMAN Cortexin domain-containing 1	CTXND1	Homo sapiens
A0A1B0GTW7	LMLN2_HUMAN	LMLN2_HUMAN Leishmanolysin-like peptidase 2	LMLN2	Homo sapiens
A0A1B0GTY4	TEX50_HUMAN	TEX50_HUMAN Testis-expressed protein 50	TEX50	Homo sapiens
A0A1B0GTZ2	CC196_HUMAN	CC196_HUMAN Putative coiled-coil domain-containing protein 196	CCDC196	Homo sapiens
A0A1B0GU29	SIM28_HUMAN	SIM28_HUMAN Small integral membrane protein 28	SMIM28	Homo sapiens
A0A1B0GU33	TEX53_HUMAN	TEX53_HUMAN Testis-expressed protein 53	TEX53	Homo sapiens
A0A1B0GU71	C97D2_HUMAN	C97D2_HUMAN Uncharacterized protein CFAP97D2	CFAP97D2	Homo sapiens
A0A1B0GUA5	SIM32_HUMAN	SIM32_HUMAN Small integral membrane protein 32	SMIM32	Homo sapiens
A0A1B0GUA6	CC195_HUMAN	CC195_HUMAN Putative coiled-coil domain-containing protein 195	CCDC195	Homo sapiens
A0A1B0GUA7	TEX51_HUMAN	TEX51_HUMAN Testis-expressed protein 51	TEX51	Homo sapiens
A0A1B0GUA9	CM046_HUMAN	CM046_HUMAN Uncharacterized protein C13orf46	C13orf46	Homo sapiens
A0A1B0GUC4	MYCOS_HUMAN	MYCOS_HUMAN Myocilin opposite strand protein	MYOCOS	Homo sapiens
A0A1B0GUI7	BRDOS_HUMAN	BRDOS_HUMAN Putative uncharacterized protein BRD3OS	BRD3OS	Homo sapiens
A0A1B0GUJ8	PNM8C_HUMAN	PNM8C_HUMAN Paraneoplastic antigen-like protein 8C	PNMA8C	Homo sapiens
A0A1B0GUQ0	F236A_HUMAN	F236A_HUMAN Protein FAM236A	FAM236A	Homo sapiens
A0A1B0GUS0	CS085_HUMAN	CS085_HUMAN Uncharacterized protein C19orf85	C19orf85	Homo sapiens
A0A1B0GUS4	UB2L5_HUMAN	UB2L5_HUMAN Ubiquitin-conjugating enzyme E2 L5	UBE2L5	Homo sapiens
A0A1B0GUT2	CJ143_HUMAN	CJ143_HUMAN Uncharacterized protein C10orf143	C10orf143	Homo sapiens
A0A1B0GUU1	CQ113_HUMAN	CQ113_HUMAN Transmembrane protein C17orf113	C17orf113	Homo sapiens
A0A1B0GUV1	CQ114_HUMAN	CQ114_HUMAN Uncharacterized protein C17orf114	C17orf114	Homo sapiens
A0A1B0GUV7	TEX48_HUMAN	TEX48_HUMAN Testis-expressed protein 48	TEX48	Homo sapiens
A0A1B0GUW6	SPEM3_HUMAN	SPEM3_HUMAN Uncharacterized protein SPEM3	SPEM3	Homo sapiens
A0A1B0GUW7	SIM27_HUMAN	SIM27_HUMAN Small integral membrane protein 27	SMIM27	Homo sapiens
A0A1B0GUX0	VAFNB_HUMAN	VAFNB_HUMAN Protein ATP6V1FNB	ATP6V1FNB	Homo sapiens
A0A1B0GUY1	MRCOL_HUMAN	MRCOL_HUMAN MARCO-like protein	MARCOL	Homo sapiens
A0A1B0GV03	GG6L7_HUMAN	GG6L7_HUMAN Golgin subfamily A member 6-like protein 7	GOLGA6L7	Homo sapiens
A0A1B0GV22	F236B_HUMAN	F236B_HUMAN Protein FAM236B	FAM236B	Homo sapiens
A0A1B0GV85	RELD1_HUMAN	RELD1_HUMAN Reelin domain-containing protein 1	REELD1	Homo sapiens
A0A1B0GV90	CTXD2_HUMAN	CTXD2_HUMAN Cortexin domain containing 2	CTXND2	Homo sapiens
A0A1B0GVD1	F237B_HUMAN	F237B_HUMAN Protein FAM237B	FAM237B	Homo sapiens
A0A1B0GVG4	CC194_HUMAN	CC194_HUMAN Coiled-coil domain-containing protein 194	CCDC194	Homo sapiens
A0A1B0GVG6	TEX54_HUMAN	TEX54_HUMAN Testis-expressed protein 54	TEX54	Homo sapiens
A0A1B0GVH4	PRS51_HUMAN	PRS51_HUMAN Serine protease-like protein 51	PRSS51	Homo sapiens
A0A1B0GVH6	CM042_HUMAN	CM042_HUMAN Uncharacterized protein C13orf42	C13orf42	Homo sapiens
A0A1B0GVH7	IQCM_HUMAN	IQCM_HUMAN IQ domain-containing protein M	IQCM	Homo sapiens
A0A1B0GVK7	F240A_HUMAN	F240A_HUMAN Protein FAM240A	FAM240A	Homo sapiens
A0A1B0GVM5	ETDC_HUMAN	ETDC_HUMAN Embryonic testis differentiation protein homolog C	ETDC	Homo sapiens
A0A1B0GVM6	CK097_HUMAN	CK097_HUMAN Uncharacterized protein C11orf97	C11orf97	Homo sapiens
A0A1B0GVN3	CB092_HUMAN	CB092_HUMAN Uncharacterized protein C2orf92	C2orf92	Homo sapiens
A0A1B0GVQ0	SPAR_HUMAN	SPAR_HUMAN Small regulatory polypeptide of amino acid response	SPAAR	Homo sapiens
A0A1B0GVQ3	CC200_HUMAN	CC200_HUMAN Coiled-coil domain-containing protein 200	CCDC200	Homo sapiens
A0A1B0GVR7	F240C_HUMAN	F240C_HUMAN Protein FAM240C	FAM240C	Homo sapiens
A0A1B0GVS7	MDFI2_HUMAN	MDFI2_HUMAN MyoD family inhibitor domain-containing protein 2	MDFIC2	Homo sapiens
A0A1B0GVT2	SIM36_HUMAN	SIM36_HUMAN Small integral membrane protein 36	SMIM36	Homo sapiens
A0A1B0GVV1	SIM35_HUMAN	SIM35_HUMAN Small integral membrane protein 35	SMIM35	Homo sapiens
A0A1B0GVX0	LITAD_HUMAN	LITAD_HUMAN LITAF domain-containing protein	LITAFD	Homo sapiens
A0A1B0GVY4	SIM31_HUMAN	SIM31_HUMAN Small integral membrane protein 31	SMIM31	Homo sapiens
A0A1B0GVZ2	F240B_HUMAN	F240B_HUMAN Protein FAM240B	FAM240B	Homo sapiens
A0A1B0GVZ6	MB3LB_HUMAN	MB3LB_HUMAN Methyl-CpG-binding domain protein 3-like 2B	MBD3L2B	Homo sapiens
A0A1B0GVZ9	TM269_HUMAN	TM269_HUMAN Transmembrane protein 269	TMEM269	Homo sapiens
A0A1B0GW35	EXC1L_HUMAN	EXC1L_HUMAN Exocyst complex component 1-like	EXOC1L	Homo sapiens
A0A1B0GW54	SIM39_HUMAN	SIM39_HUMAN Small integral membrane protein 39	SMIM39	Homo sapiens
A0A1B0GW64	SIM33_HUMAN	SIM33_HUMAN Small integral membrane protein 33	SMIM33	Homo sapiens
A0A1B0GWB2	PRT1B_HUMAN	PRT1B_HUMAN Proline rich transmembrane protein 1B	PRRT1B	Homo sapiens
A0A1B0GWG4	SRTM2_HUMAN	SRTM2_HUMAN Serine-rich and transmembrane domain-containing 2	SERTM2	Homo sapiens
A0A1B0GWH4	HSFX3_HUMAN	HSFX3_HUMAN Heat shock transcription factor, X-linked member 3	HSFX3	Homo sapiens
A0A1B0GWK0	PVLEF_HUMAN	PVLEF_HUMAN Parvalbumin-like EF-hand-containing protein	PVALEF	Homo sapiens
A0A1B0GX31	TVB76_HUMAN	TVB76_HUMAN T cell receptor beta variable 7-6	TRBV7-6	Homo sapiens
A0A1B0GX49	TVB64_HUMAN	TVB64_HUMAN T cell receptor beta variable 6-4	TRBV6-4	Homo sapiens
A0A1B0GX51	TVB78_HUMAN	TVB78_HUMAN T cell receptor beta variable 7-8	TRBV7-8	Homo sapiens
A0A1B0GX56	TRDV1_HUMAN	TRDV1_HUMAN T cell receptor delta variable 1	TRDV1	Homo sapiens
A0A1B0GX68	TVB2_HUMAN	TVB2_HUMAN T cell receptor beta variable 2	TRBV2	Homo sapiens
A0A1B0GX78	TVBL5_HUMAN	TVBL5_HUMAN T cell receptor beta variable 12-5	TRBV12-5	Homo sapiens
A0A1B0GX95	TVB74_HUMAN	TVB74_HUMAN T cell receptor beta variable 7-4	TRBV7-4	Homo sapiens
A0A1B0GXF2	TVB72_HUMAN	TVB72_HUMAN T cell receptor beta variable 7-2	TRBV7-2	Homo sapiens
A0A1W2PP97	THSD8_HUMAN	THSD8_HUMAN Thrombospondin type-1 domain-containing protein 8	THSD8	Homo sapiens
A0A1W2PPF3	DUXB_HUMAN	DUXB_HUMAN Double homeobox protein B	DUXB	Homo sapiens
A0A1W2PPG7	GBG14_HUMAN	GBG14_HUMAN Putative guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-14	GNG14	Homo sapiens
A0A1W2PPM1	CPHXL_HUMAN	CPHXL_HUMAN Cytoplasmic polyadenylated homeobox-like	CPHXL	Homo sapiens
A0A1W2PQ73	ERFL_HUMAN	ERFL_HUMAN ETS domain-containing transcription factor ERF-like	ERFL	Homo sapiens
A0A1W2PR19	GSTT4_HUMAN	GSTT4_HUMAN Glutathione S-transferase theta-4	GSTT4	Homo sapiens
A0A1W2PR48	TLE7_HUMAN	TLE7_HUMAN Transducin-like enhancer protein 7	TLE7	Homo sapiens
A0A1W2PR82	PERC1_HUMAN	PERC1_HUMAN Protein PERCC1	PERCC1	Homo sapiens
A0A1W2PRP0	FOXL3_HUMAN	FOXL3_HUMAN Forkhead box protein L3	FOXL3	Homo sapiens
A0A1W2PS18	PMIS2_HUMAN	PMIS2_HUMAN Transmembrane protein PMIS2	PMIS2	Homo sapiens
A0A286YEV6	SCGR4_HUMAN	SCGR4_HUMAN Small cysteine and glycine repeat-containing protein 4	SCYGR4	Homo sapiens
A0A286YEX9	SCGRX_HUMAN	SCGRX_HUMAN Small cysteine and glycine repeat-containing protein 10	SCYGR10	Homo sapiens
A0A286YEY9	SCGR1_HUMAN	SCGR1_HUMAN Small cysteine and glycine repeat-containing protein 1	SCYGR1	Homo sapiens
A0A286YF01	SCGR7_HUMAN	SCGR7_HUMAN Small cysteine and glycine repeat-containing protein 7	SCYGR7	Homo sapiens
A0A286YF46	SCGR5_HUMAN	SCGR5_HUMAN Small cysteine and glycine repeat-containing protein 5	SCYGR5	Homo sapiens
A0A286YF58	TM271_HUMAN	TM271_HUMAN Transmembrane protein 271	TMEM271	Homo sapiens
A0A286YF60	SCGR3_HUMAN	SCGR3_HUMAN Small cysteine and glycine repeat-containing protein 3	SCYGR3	Homo sapiens
A0A286YF77	SCGR6_HUMAN	SCGR6_HUMAN Small cysteine and glycine repeat-containing protein 6	SCYGR6	Homo sapiens
A0A286YFB4	SCGR2_HUMAN	SCGR2_HUMAN Small cysteine and glycine repeat-containing protein 2	SCYGR2	Homo sapiens
A0A286YFG1	SCGR8_HUMAN	SCGR8_HUMAN Small cysteine and glycine repeat-containing protein 8	SCYGR8	Homo sapiens
A0A286YFK9	SIM38_HUMAN	SIM38_HUMAN Small integral membrane protein 38	SMIM38	Homo sapiens
A0A2R8Y4Y8	OSP4B_HUMAN	OSP4B_HUMAN Oocyte-secreted protein 4B	OOSP4B	Homo sapiens
A0A2R8Y619	H2BE1_HUMAN	H2BE1_HUMAN Histone H2B type 2-E1	H2BE1	Homo sapiens
A0A2R8Y7D0	TINCR_HUMAN	TINCR_HUMAN Ubiquitin domain-containing protein TINCR	TINCR	Homo sapiens
A0A2R8YCJ5	SIM41_HUMAN	SIM41_HUMAN Small integral membrane protein 41	SMIM41	Homo sapiens
A0A2R8YFL7	OSP4A_HUMAN	OSP4A_HUMAN Oocyte-secreted protein 4A	OOSP4A	Homo sapiens
A0A2R8YFM6	OOSP3_HUMAN	OOSP3_HUMAN Oocyte-secreted protein 3	OOSP3	Homo sapiens
A0A2Z4LIS9	FXO3B_HUMAN	FXO3B_HUMAN Forkhead box protein O3B	FOXO3B	Homo sapiens
A0A385XJ53	INSA9_ECOLI	INSA9_ECOLI Insertion element IS1 9 protein InsA	insA9	Escherichia coli (strain K12)
A0A385XJE6	INH21_ECOLI	INH21_ECOLI Transposase InsH for insertion sequence element IS5U	insH21	Escherichia coli (strain K12)
A0A385XJK5	YPAB_ECOLI	YPAB_ECOLI Protein YpaB	ypaB	Escherichia coli (strain K12)
A0A385XJL2	YGDT_ECOLI	YGDT_ECOLI Protein YgdT	ygdT	Escherichia coli (strain K12)
A0A385XJL4	INSB9_ECOLI	INSB9_ECOLI Insertion element IS1 9 protein InsB	insB9	Escherichia coli (strain K12)
A0A3B3IT52	MSD5_HUMAN	MSD5_HUMAN Putative uncharacterized protein MSANTD5	MSANTD5	Homo sapiens
A0A494C086	SPD21_HUMAN	SPD21_HUMAN Putative speedy protein E21	SPDYE21	Homo sapiens
A0A494C0N9	F246B_HUMAN	F246B_HUMAN Protein FAM246B	FAM246B	Homo sapiens
A0A494C0Y3	F246A_HUMAN	F246A_HUMAN Protein FAM246A	FAM246A	Homo sapiens
A0A494C0Z2	SPD13_HUMAN	SPD13_HUMAN Putative speedy protein E13	SPDYE13	Homo sapiens
A0A494C191	SPD9_HUMAN	SPD9_HUMAN Putative speedy protein E9	SPDYE9	Homo sapiens
A0A539	TVB42_HUMAN	TVB42_HUMAN T cell receptor beta variable 4-2	TRBV4-2	Homo sapiens
A0A576	TVB31_HUMAN	TVB31_HUMAN T cell receptor beta variable 3-1	TRBV3-1	Homo sapiens
A0A577	TVB41_HUMAN	TVB41_HUMAN T cell receptor beta variable 4-1	TRBV4-1	Homo sapiens
A0A578	TVB51_HUMAN	TVB51_HUMAN T cell receptor beta variable 5-1	TRBV5-1	Homo sapiens
A0A584	TVBK2_HUMAN	TVBK2_HUMAN T cell receptor beta variable 11-2	TRBV11-2	Homo sapiens
A0A589	TVB43_HUMAN	TVB43_HUMAN T cell receptor beta variable 4-3	TRBV4-3	Homo sapiens
A0A597	TVB55_HUMAN	TVB55_HUMAN T cell receptor beta variable 5-5	TRBV5-5	Homo sapiens
A0A599	TVB56_HUMAN	TVB56_HUMAN T cell receptor beta variable 5-6	TRBV5-6	Homo sapiens
A0A5A2	TVB58_HUMAN	TVB58_HUMAN T cell receptor beta variable 5-8	TRBV5-8	Homo sapiens
A0A5A6	TVBK3_HUMAN	TVBK3_HUMAN T cell receptor beta variable 11-3	TRBV11-3	Homo sapiens
A0A5B0	TVB14_HUMAN	TVB14_HUMAN T cell receptor beta variable 14	TRBV14	Homo sapiens
A0A5B6	TVB28_HUMAN	TVB28_HUMAN T cell receptor beta variable 28	TRBV28	Homo sapiens
A0A5B7	TVB29_HUMAN	TVB29_HUMAN T cell receptor beta variable 29-1	TRBV29-1	Homo sapiens
A0A5B9	TRBC2_HUMAN	TRBC2_HUMAN T cell receptor beta constant 2	TRBC2	Homo sapiens
A0A5F9ZH02	SIM42_HUMAN	SIM42_HUMAN Small integral membrane protein 42	SMIM42	Homo sapiens
A0A5F9ZHS7	NFILZ_HUMAN	NFILZ_HUMAN NFIL3 like protein	NFILZ	Homo sapiens
A0AUZ9	KAL1L_HUMAN	KAL1L_HUMAN KAT8 regulatory NSL complex subunit 1-like protein	KANSL1L	Homo sapiens
A0AV02	S12A8_HUMAN	S12A8_HUMAN Solute carrier family 12 member 8	SLC12A8	Homo sapiens
A0AV96	RBM47_HUMAN	RBM47_HUMAN RNA-binding protein 47	RBM47	Homo sapiens
A0AVF1	IFT56_HUMAN	IFT56_HUMAN Intraflagellar transport protein 56	TTC26	Homo sapiens
A0AVI2	FR1L5_HUMAN	FR1L5_HUMAN Fer-1-like protein 5	FER1L5	Homo sapiens
A0AVI4	TM129_HUMAN	TM129_HUMAN E3 ubiquitin-protein ligase TM129	TMEM129	Homo sapiens
A0AVK6	E2F8_HUMAN	E2F8_HUMAN Transcription factor E2F8	E2F8	Homo sapiens
A0AVT1	UBA6_HUMAN	UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6	UBA6	Homo sapiens
A0FGR8	ESYT2_HUMAN	ESYT2_HUMAN Extended synaptotagmin-2	ESYT2	Homo sapiens
A0FGR9	ESYT3_HUMAN	ESYT3_HUMAN Extended synaptotagmin-3	ESYT3	Homo sapiens
A0JD32	TV382_HUMAN	TV382_HUMAN T cell receptor alpha variable 38-2/delta variable 8	TRAV38-2DV8	Homo sapiens
A0JD36	TRDV2_HUMAN	TRDV2_HUMAN T cell receptor delta variable 2	TRDV2	Homo sapiens
A0JD37	TRDV3_HUMAN	TRDV3_HUMAN T cell receptor delta variable 3	TRDV3	Homo sapiens
A0JLT2	MED19_HUMAN	MED19_HUMAN Mediator of RNA polymerase II transcription subunit 19	MED19	Homo sapiens
A0JNW5	UH1BL_HUMAN	UH1BL_HUMAN UHRF1-binding protein 1-like	UHRF1BP1L	Homo sapiens
A0JP26	POTB3_HUMAN	POTB3_HUMAN POTE ankyrin domain family member B3	POTEB3	Homo sapiens
A0M8Q6	IGLC7_HUMAN	IGLC7_HUMAN Immunoglobulin lambda constant 7	IGLC7	Homo sapiens
A0MZ66	SHOT1_HUMAN	SHOT1_HUMAN Shootin-1	SHTN1	Homo sapiens
A0PG75	PLS5_HUMAN	PLS5_HUMAN Phospholipid scramblase family member 5	PLSCR5	Homo sapiens
A0PJE2	DHR12_HUMAN	DHR12_HUMAN Dehydrogenase/reductase SDR family member 12	DHRS12	Homo sapiens
A0PJK1	SC5AA_HUMAN	SC5AA_HUMAN Sodium/glucose cotransporter 5	SLC5A10	Homo sapiens
A0PJW6	TM223_HUMAN	TM223_HUMAN Transmembrane protein 223	TMEM223	Homo sapiens
A0PJW8	DAPL1_HUMAN	DAPL1_HUMAN Death-associated protein-like 1	DAPL1	Homo sapiens
A0PJX0	CIB4_HUMAN	CIB4_HUMAN Calcium and integrin-binding family member 4	CIB4	Homo sapiens
A0PJX2	TLDC2_HUMAN	TLDC2_HUMAN TLD domain-containing protein 2	TLDC2	Homo sapiens
A0PJX4	SHSA3_HUMAN	SHSA3_HUMAN Protein shisa-3 homolog	SHISA3	Homo sapiens
A0PJX8	TMM82_HUMAN	TMM82_HUMAN Transmembrane protein 82	TMEM82	Homo sapiens
A0PJY2	FEZF1_HUMAN	FEZF1_HUMAN Fez family zinc finger protein 1	FEZF1	Homo sapiens
A0PJZ0	A20A5_HUMAN	A20A5_HUMAN Putative ankyrin repeat domain-containing protein 20A5	ANKRD20A5P	Homo sapiens
A0PJZ3	GXLT2_HUMAN	GXLT2_HUMAN Glucoside xylosyltransferase 2	GXYLT2	Homo sapiens
A0PK00	T120B_HUMAN	T120B_HUMAN Transmembrane protein 120B	TMEM120B	Homo sapiens
A0PK05	TMM72_HUMAN	TMM72_HUMAN Transmembrane protein 72	TMEM72	Homo sapiens
A0PK11	CLRN2_HUMAN	CLRN2_HUMAN Clarin-2	CLRN2	Homo sapiens
A0ZSE6	CC50C_HUMAN	CC50C_HUMAN Cell cycle control protein 50C	TMEM30CP	Homo sapiens
A1A4F0	S66AL_HUMAN	S66AL_HUMAN Putative uncharacterized protein SLC66A1L	SLC66A1L	Homo sapiens
A1A4G5	LNP1_HUMAN	LNP1_HUMAN Leukemia NUP98 fusion partner 1	LNP1	Homo sapiens
A1A4S6	RHG10_HUMAN	RHG10_HUMAN Rho GTPase-activating protein 10	ARHGAP10	Homo sapiens
A1A4V9	CC189_HUMAN	CC189_HUMAN Coiled-coil domain-containing protein 189	CCDC189	Homo sapiens
A1A4Y4	IRGM_HUMAN	IRGM_HUMAN Immunity-related GTPase family M protein	IRGM	Homo sapiens
A1A519	F170A_HUMAN	F170A_HUMAN Protein FAM170A	FAM170A	Homo sapiens
A1A580	KR231_HUMAN	KR231_HUMAN Keratin-associated protein 23-1	KRTAP23-1	Homo sapiens
A1A5B4	ANO9_HUMAN	ANO9_HUMAN Anoctamin-9	ANO9	Homo sapiens
A1A5C7	S22AN_HUMAN	S22AN_HUMAN Solute carrier family 22 member 23	SLC22A23	Homo sapiens
A1A5D9	BICL2_HUMAN	BICL2_HUMAN BICD family-like cargo adapter 2	BICDL2	Homo sapiens
A1E959	ODAM_HUMAN	ODAM_HUMAN Odontogenic ameloblast-associated protein	ODAM	Homo sapiens
A1IGU5	ARH37_HUMAN	ARH37_HUMAN Rho guanine nucleotide exchange factor 37	ARHGEF37	Homo sapiens
A1KXE4	F168B_HUMAN	F168B_HUMAN Myelin-associated neurite-outgrowth inhibitor	FAM168B	Homo sapiens
A1KZ92	PXDNL_HUMAN	PXDNL_HUMAN Peroxidasin-like protein	PXDNL	Homo sapiens
A1L020	MEX3A_HUMAN	MEX3A_HUMAN RNA-binding protein MEX3A	MEX3A	Homo sapiens
A1L0T0	HACL2_HUMAN	HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2	ILVBL	Homo sapiens
A1L157	TSN11_HUMAN	TSN11_HUMAN Tetraspanin-11	TSPAN11	Homo sapiens
A1L162	ERIC2_HUMAN	ERIC2_HUMAN Glutamate-rich protein 2	ERICH2	Homo sapiens
A1L167	U2QL1_HUMAN	U2QL1_HUMAN Ubiquitin-conjugating enzyme E2Q-like protein 1	UBE2QL1	Homo sapiens
A1L168	CT202_HUMAN	CT202_HUMAN Uncharacterized protein C20orf202	C20orf202	Homo sapiens
A1L170	CA226_HUMAN	CA226_HUMAN Uncharacterized protein C1orf226	C1orf226	Homo sapiens
A1L188	NDUF8_HUMAN	NDUF8_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUFAF8	Homo sapiens
A1L190	SYCE3_HUMAN	SYCE3_HUMAN Synaptonemal complex central element protein 3	SYCE3	Homo sapiens
A1L1A6	IGS23_HUMAN	IGS23_HUMAN Immunoglobulin superfamily member 23	IGSF23	Homo sapiens
A1L390	PKHG3_HUMAN	PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3	PLEKHG3	Homo sapiens
A1L3X0	ELOV7_HUMAN	ELOV7_HUMAN Elongation of very long chain fatty acids protein 7	ELOVL7	Homo sapiens
A1L3X4	MT1DP_HUMAN	MT1DP_HUMAN Putative metallothionein MT1DP	MT1DP	Homo sapiens
A1L429	GG12C_HUMAN	GG12C_HUMAN G antigen 12B/C/D/E	GAGE12B	Homo sapiens
A1L443	NTM2F_HUMAN	NTM2F_HUMAN NUT family member 2F	NUTM2F	Homo sapiens
A1L453	PRS38_HUMAN	PRS38_HUMAN Serine protease 38	PRSS38	Homo sapiens
A1L4H1	SRCRL_HUMAN	SRCRL_HUMAN Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SSC5D	Homo sapiens
A1L4K1	FSD2_HUMAN	FSD2_HUMAN Fibronectin type III and SPRY domain-containing protein 2	FSD2	Homo sapiens
A1L4L8	PL8L1_HUMAN	PL8L1_HUMAN PLAC8-like protein 1	PLAC8L1	Homo sapiens
A1L4Q6	YK033_HUMAN	YK033_HUMAN Putative uncharacterized protein FLJ41423	PE=5	Homo sapiens
A1X283	SPD2B_HUMAN	SPD2B_HUMAN SH3 and PX domain-containing protein 2B	SH3PXD2B	Homo sapiens
A1XBS5	FA92A_HUMAN	FA92A_HUMAN Protein FAM92A	FAM92A	Homo sapiens
A1YPR0	ZBT7C_HUMAN	ZBT7C_HUMAN Zinc finger and BTB domain-containing protein 7C	ZBTB7C	Homo sapiens
A1Z1Q3	MACD2_HUMAN	MACD2_HUMAN ADP-ribose glycohydrolase MACROD2	MACROD2	Homo sapiens
A2A288	ZC12D_HUMAN	ZC12D_HUMAN Probable ribonuclease ZC3H12D	ZC3H12D	Homo sapiens
A2A2V5	SRTM1_HUMAN	SRTM1_HUMAN Serine-rich and transmembrane domain-containing protein 1	SERTM1	Homo sapiens
A2A2Y4	FRMD3_HUMAN	FRMD3_HUMAN FERM domain-containing protein 3	FRMD3	Homo sapiens
A2A2Z9	AN18B_HUMAN	AN18B_HUMAN Ankyrin repeat domain-containing protein 18B	ANKRD18B	Homo sapiens
A2A368	MAGBG_HUMAN	MAGBG_HUMAN Melanoma-associated antigen B16	MAGEB16	Homo sapiens
A2A3K4	PTPC1_HUMAN	PTPC1_HUMAN Protein tyrosine phosphatase domain-containing protein 1	PTPDC1	Homo sapiens
A2A3L6	TTC24_HUMAN	TTC24_HUMAN Tetratricopeptide repeat protein 24	TTC24	Homo sapiens
A2A3N6	PIPSL_HUMAN	PIPSL_HUMAN Putative PIP5K1A and PSMD4-like protein	PIPSL	Homo sapiens
A2AJT9	BCLA3_HUMAN	BCLA3_HUMAN BCLAF1 and THRAP3 family member 3	BCLAF3	Homo sapiens
A2CJ06	DYTN_HUMAN	DYTN_HUMAN Dystrotelin	DYTN	Homo sapiens
A2IDD5	CCD78_HUMAN	CCD78_HUMAN Coiled-coil domain-containing protein 78	CCDC78	Homo sapiens
A2NJV5	KV229_HUMAN	KV229_HUMAN Immunoglobulin kappa variable 2-29	IGKV2-29	Homo sapiens
A2PYH4	HFM1_HUMAN	HFM1_HUMAN Probable ATP-dependent DNA helicase HFM1	HFM1	Homo sapiens
A2RRD8	ZN320_HUMAN	ZN320_HUMAN Zinc finger protein 320	ZNF320	Homo sapiens
A2RRH5	WDR27_HUMAN	WDR27_HUMAN WD repeat-containing protein 27	WDR27	Homo sapiens
A2RRL7	TM213_HUMAN	TM213_HUMAN Transmembrane protein 213	TMEM213	Homo sapiens
A2RRP1	NBAS_HUMAN	NBAS_HUMAN Neuroblastoma-amplified sequence	NBAS	Homo sapiens
A2RTX5	SYTC2_HUMAN	SYTC2_HUMAN Threonine--tRNA ligase 2, cytoplasmic	TARS3	Homo sapiens
